id,equipment_code,plant_id,equipment_name,location_in_plant,equipment_type,manufacturer,model_number,installation_date,expected_life_days,criticality,status,created_at,updated_at
eq-001,RMHP-001,plant-001,Wagon Tippler,Raw Material Handling Plant,rotating/hydraulic,ABB,ABB-XYZ-12,15-01-2018,1000,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-002,RMHP-002,plant-001,Stacker Reclaimer,Raw Material Handling Plant,rotating/mechanical,ABB,ABB-XYZ-13,16-01-2018,1050,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-003,RMHP-003,plant-001,Conveyor Belt System,Raw Material Handling Plant,mechanical/belt,ABB,ABB-XYZ-14,17-01-2018,950,MEDIUM,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-004,RMHP-004,plant-001,Vibrating Feeder,Raw Material Handling Plant,vibrating/mechanical,ABB,ABB-XYZ-15,18-01-2018,800,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-005,RMHP-005,plant-001,Crusher (RMHP),Raw Material Handling Plant,rotating/impact,ABB,ABB-XYZ-16,19-01-2018,2000,LOW,FAILED,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-006,RMHP-006,plant-001,Screen (RMHP),Raw Material Handling Plant,vibrating/mechanical,ABB,ABB-XYZ-17,20-01-2018,1685,MEDIUM,FAILED,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-007,RMHP-007,plant-001,Hopper & Bunker,Raw Material Handling Plant,static/structural,ABB,ABB-XYZ-18,21-01-2018,1860,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-008,RMHP-008,plant-001,Dust Extraction System,Raw Material Handling Plant,rotating/filtration,ABB,ABB-XYZ-19,22-01-2018,2035,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-009,RMHP-009,plant-001,Weigh Feeder,Raw Material Handling Plant,instrumentation/mechanical,ABB,ABB-XYZ-20,23-01-2018,2210,MEDIUM,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-010,COP-001,plant-001,Coke Oven Battery,Coke Oven Plant,thermal/structural,ABB,ABB-XYZ-21,24-01-2018,2385,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-011,COP-002,plant-001,Coal Charging Car,Coke Oven Plant,mobile/mechanical,ABB,ABB-XYZ-22,25-01-2018,2560,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-012,COP-003,plant-001,Coke Pushing Machine,Coke Oven Plant,mobile/hydraulic,ABB,ABB-XYZ-23,26-01-2018,2735,MEDIUM,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-013,COP-004,plant-001,Coke Transfer Car,Coke Oven Plant,mobile/mechanical,ABB,ABB-XYZ-24,27-01-2018,2910,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-014,COP-005,plant-001,Coke Quenching Tower,Coke Oven Plant,static/spray,ABB,ABB-XYZ-25,28-01-2018,3085,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-015,COP-006,plant-001,Coke Screening Plant,Coke Oven Plant,vibrating/mechanical,ABB,ABB-XYZ-26,29-01-2018,3260,MEDIUM,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-016,COP-007,plant-001,Gas Collecting Main,Coke Oven Plant,static/piping,ABB,ABB-XYZ-27,30-01-2018,3435,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-017,COP-008,plant-001,By-product Recovery System,Coke Oven Plant,process/chemical,ABB,ABB-XYZ-28,31-01-2018,3610,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-018,COP-009,plant-001,Exhauster/Blower (Coke Oven),Coke Oven Plant,rotating/centrifugal,ABB,ABB-XYZ-29,01-02-2018,3785,MEDIUM,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-019,SNT-001,plant-001,Mixing Drum,Sinter Plant,rotating/mechanical,ABB,ABB-XYZ-30,02-02-2018,3960,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-020,SNT-002,plant-001,Sinter Machine,Sinter Plant,continuous/mechanical,ABB,ABB-XYZ-31,03-02-2018,4135,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-021,SNT-003,plant-001,Ignition Furnace,Sinter Plant,thermal,ABB,ABB-XYZ-32,04-02-2018,4310,MEDIUM,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-022,SNT-004,plant-001,Crusher (Sinter),Sinter Plant,rotating/impact,ABB,ABB-XYZ-33,05-02-2018,4485,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-023,SNT-005,plant-001,Cooling System (Sinter),Sinter Plant,thermal/mechanical,ABB,ABB-XYZ-34,06-02-2018,4660,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-024,SNT-006,plant-001,Electrostatic Precipitator (Sinter),Sinter Plant,electrical/filtration,ABB,ABB-XYZ-35,07-02-2018,4835,MEDIUM,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-025,SNT-007,plant-001,Dust Collector (Sinter),Sinter Plant,filtration,ABB,ABB-XYZ-36,08-02-2018,5010,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-026,SNT-008,plant-001,Conveyor (Sinter Plant),Sinter Plant,mechanical/belt,ABB,ABB-XYZ-37,09-02-2018,5185,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-027,SNT-009,plant-001,Fans and Blowers (Sinter),Sinter Plant,rotating/centrifugal,ABB,ABB-XYZ-38,10-02-2018,5360,MEDIUM,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-028,PLT-001,plant-001,Balling Disc,Pellet Plant,rotating/mechanical,ABB,ABB-XYZ-39,11-02-2018,5535,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-029,PLT-002,plant-001,Pellet Induration Furnace,Pellet Plant,thermal/continuous,ABB,ABB-XYZ-40,12-02-2018,5710,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-030,PLT-003,plant-001,Dryer (Pellet),Pellet Plant,thermal/rotating,ABB,ABB-XYZ-41,13-02-2018,5885,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-031,PLT-004,plant-001,Cooler (Pellet),Pellet Plant,thermal/mechanical,ABB,ABB-XYZ-42,14-02-2018,6060,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-032,PLT-005,plant-001,Screening Unit (Pellet),Pellet Plant,vibrating/mechanical,ABB,ABB-XYZ-43,15-02-2018,6235,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-033,PLT-006,plant-001,Grinding Mill (Pellet),Pellet Plant,rotating/mechanical,ABB,ABB-XYZ-44,16-02-2018,6410,LOW,FAILED,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-034,BF-001,plant-001,Blast Furnace Shell,Blast Furnace,static/thermal,ABB,ABB-XYZ-45,17-02-2018,6585,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-035,BF-002,plant-001,Bell-less Top Charging System,Blast Furnace,mechanical/hydraulic,ABB,ABB-XYZ-46,18-02-2018,6760,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-036,BF-003,plant-001,Hot Blast Stove,Blast Furnace,thermal/structural,ABB,ABB-XYZ-47,19-02-2018,6935,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-037,BF-004,plant-001,Pulverized Coal Injection (PCI) System,Blast Furnace,pneumatic/mechanical,ABB,ABB-XYZ-48,20-02-2018,7110,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-038,BF-005,plant-001,Cast House Equipment,Blast Furnace,mechanical/thermal,ABB,ABB-XYZ-49,21-02-2018,7285,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-039,BF-006,plant-001,Mud Gun,Blast Furnace,hydraulic/mechanical,ABB,ABB-XYZ-50,22-02-2018,7460,LOW,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
eq-040,BF-007,plant-001,Taphole Drilling Machine,Blast Furnace,rotating/hydraulic,ABB,ABB-XYZ-51,23-02-2018,1000,HIGH,UP,2025-01-01T00:00:00,2025-01-01T00:00:00
