incident_id,equipment_id,equipment_name,category,date_time,shift,incident_type,description,root_cause,contributing_factors,immediate_action,corrective_action,impact_level,downtime_hours,production_loss_tonnes,reported_by,investigated_by,closure_date,status
INC-RMHP-001-013,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-01-01 14:11:49,C (22:00-06:00),Quality deviation event,"Quality deviation traced to Wagon Tippler (RMHP-001) malfunction (hydraulic pump failure), resulting in off-spec product.",Electrical fault,Bearing wear/failure,Continued operation with reduced load and monitoring,Replenished/changed lubricant,Negligible,4.9,13.78,S. Reddy,T. Singh,2024-01-31,Closed - CAPA implemented
INC-RMHP-001-001,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-01-16 04:07:52,A (06:00-14:00),Quality deviation event,"Quality deviation traced to Wagon Tippler (RMHP-001) malfunction (tipping mechanism jam), resulting in off-spec product.",Control system/software fault,Electrical fault,Isolated equipment and informed shift supervisor,Inspected and replaced thermal component,Minor,6.0,15.68,K. Das,L. Pillai,,Under investigation
INC-RMHP-001-003,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-01-31 08:14:46,C (22:00-06:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to hydraulic seal leakage.,Electrical fault,"Sensor/instrument drift, Belt/chain wear, Lubrication failure",Carried out emergency repair,Replaced seal/gasket,Minor,1.8,3.69,G. Chatterjee,M. Iqbal,2024-02-24,Closed - CAPA implemented
INC-RMHP-001-018,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-01-31 17:41:11,C (22:00-06:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to tipping mechanism jam.,Insulation degradation,Electrical fault,Stopped operation and applied LOTO,Cleared foreign material and inspected,Moderate,5.2,5.62,C. Joshi,J. Mehta,2024-02-13,Closed - CAPA implemented
INC-RMHP-001-009,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-02-13 11:11:48,A (06:00-14:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to tipping mechanism jam.,Control system/software fault,"Seal/gasket leakage, Cooling system fault, Hydraulic system fault",Carried out emergency repair,Replaced bearing,Moderate,43.6,53.02,S. Reddy,N. Gupta,2024-02-15,Closed - CAPA implemented
INC-RMHP-001-002,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-02-17 06:31:03,A (06:00-14:00),Quality deviation event,"Quality deviation traced to Wagon Tippler (RMHP-001) malfunction (position sensor drift), resulting in off-spec product.",Control system/software fault,"Operator error, Lubrication failure",Stopped operation and applied LOTO,Repaired electrical connection,Severe,7.6,10.21,B. Kulkarni,J. Mehta,2024-03-03,Closed
INC-RMHP-001-014,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-04-06 03:28:47,A (06:00-14:00),Safety incident (minor),Minor safety incident during maintenance/operation of Wagon Tippler (RMHP-001); first-aid case reported.,Misalignment,Cooling system fault,Continued operation with reduced load and monitoring,Inspected and replaced thermal component,Minor,3.1,4.61,G. Chatterjee,B. Kulkarni,,Open
INC-RMHP-001-004,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-04-25 09:46:18,A (06:00-14:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to tipping mechanism jam.,Lubrication failure,"Misalignment, Lubrication failure",Switched to standby unit,Replaced belt/chain,Minor,2.7,4.42,A. Verma,V. Rao,2024-04-30,Closed
INC-RMHP-001-017,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-04-28 22:58:18,A (06:00-14:00),Production stoppage,"Production stoppage caused by position sensor drift on Wagon Tippler (RMHP-001), affecting downstream units.",Hydraulic system fault,"Bearing wear/failure, Misalignment",Isolated equipment and informed shift supervisor,Updated PLC/software parameters,Moderate,41.0,78.82,N. Gupta,N. Gupta,2024-05-23,Closed
INC-RMHP-001-010,RMHP-001,Wagon Tippler,Raw Material Handling Plant,2024-07-28 20:12:46,B (14:00-22:00),Unplanned breakdown,Wagon Tippler (RMHP-001) experienced unplanned stoppage due to hydraulic seal leakage.,Overload/overcurrent,"Lubrication failure, Corrosion",Isolated equipment and informed shift supervisor,Cleared foreign material and inspected,Minor,6.3,21.38,C. Joshi,N. Gupta,2024-07-29,Closed
