alert_id,equipment_id,equipment_name,category,timestamp,sensor_name,observed_value,baseline_value,deviation_pct,alert_level,detection_method,probable_cause,recommended_action,acknowledged,acknowledged_by,resolution_status
ALM-RMHP-001-0001,RMHP-001,Wagon Tippler,Raw Material Handling Plant,12-01-2024 17:31,cycle_time_s,188.04,174.61,7.7,Information,Trend deviation from baseline,Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,C. Joshi,Closed - informational only
ALM-RMHP-001-0002,RMHP-001,Wagon Tippler,Raw Material Handling Plant,28-01-2024 14:47,hydraulic_pressure_bar,206.14,191.59,7.6,Information,Rule-based threshold (SOP limit),Hydraulic pump failure,Continue monitoring; log for trend analysis,Yes,P. Nair,Closed - informational only
ALM-RMHP-001-0003,RMHP-001,Wagon Tippler,Raw Material Handling Plant,02-02-2024 09:22,cycle_time_s,82.98,70.06,18.4,Warning,ML anomaly score (Isolation Forest),Hydraulic pump failure,Schedule inspection within next maintenance window,Yes,B. Kulkarni,Escalated to maintenance
ALM-RMHP-001-0004,RMHP-001,Wagon Tippler,Raw Material Handling Plant,05-02-2024 17:19,hydraulic_pressure_bar,31.41,26.73,17.5,Warning,Trend deviation from baseline,Position sensor drift,Schedule inspection within next maintenance window,Yes,P. Nair,Resolved - maintenance performed
ALM-RMHP-001-0005,RMHP-001,Wagon Tippler,Raw Material Handling Plant,07-02-2024 10:17,tipping_angle_deg,279.94,180.45,55.1,Critical,Rate-of-change detection,Tipping mechanism jam,Immediate inspection required; consider equipment shutdown,No,,Resolved - false positive
ALM-RMHP-001-0006,RMHP-001,Wagon Tippler,Raw Material Handling Plant,11-03-2024 14:37,hydraulic_pressure_bar,230.51,199.23,15.7,Information,Pattern/frequency analysis (FFT),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,J. Mehta,Closed - informational only
ALM-RMHP-001-0007,RMHP-001,Wagon Tippler,Raw Material Handling Plant,29-05-2024 17:38,cycle_time_s,49.88,41.86,19.2,Information,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,V. Rao,Closed - informational only
ALM-RMHP-001-0008,RMHP-001,Wagon Tippler,Raw Material Handling Plant,28-06-2024 16:04,motor_current_A,41.46,34.08,21.6,Information,ML anomaly score (Autoencoder reconstruction error),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,V. Rao,Closed - informational only
ALM-RMHP-001-0009,RMHP-001,Wagon Tippler,Raw Material Handling Plant,01-07-2024 01:14,vibration_mm_s,203.54,166.86,22,Information,Statistical threshold (3-sigma),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,J. Mehta,Closed - informational only
ALM-RMHP-001-0010,RMHP-001,Wagon Tippler,Raw Material Handling Plant,26-07-2024 09:54,vibration_mm_s,167.04,146.51,14,Information,ML anomaly score (Isolation Forest),Minor process variation / transient condition,Continue monitoring; no immediate action required,Yes,N. Gupta,Closed - informational only
